,Text Tweet
47,"Tidak usah ngotot curi start mudik, polisi sudah mengantisipasi hal tersebut dg penjagaan ketat. Kita lebaran di ru… https://t.co/UXzsJPS5TC"
48,"Larangan mudik per 06-17 Mei itu dimaksudkan untuk mencegah penyebaran Covid-19. Sebaiknya kita taati, agar tidak a… https://t.co/XC4d0Hpvje"
49,Petugas mudik jalur tikus +62 https://t.co/IwM298uK8n
50,lebaran tahun ini boleh mudik ga si
51,"Walikota Tangerang : Tidak Mudik, Untuk Keselamatan Kita Bersama https://t.co/Wtwi6Tuy7s via @BeritaIrn https://t.co/uiFhk0vmxC"
52,@detikcom Dilarang tdk mudik??
53,boleh / gaboleh mudik yaaa tetep kudu mudik 😅
54,"Giat pelaksanaan Apel Gabungan dalam rangka Operasi keselamatan siwalma 2021 polres p. Buru. 
#stop_mudik… https://t.co/jc1lsoPlmz"
55,@AjusNco @Aoiy24 @MattHudi @AdeDirgantara3 @klik_ayet @ismailfahmi Jangan maksain mudik
56,@Aoiy24 @MattHudi @AdeDirgantara3 @klik_ayet @ismailfahmi Asalkan bisa menjamin g akan bawa virus ke daerah asal si… https://t.co/pcdtNpvM6L
57,"Masih menjadi MISTERI KETOLOLAN knp PILKADA boleh, mall,bioskop buka tempat wisata buka..TAPI MUDIK MASIH DILARANG!… https://t.co/2mJ9azydS6"
58,Giat Himbauan kepada masuarakat agar selalu mengutamakan Protokol Kesehatan dan keselamatan serta larangan mudik.… https://t.co/YT66rTKy0V
59,tanggal 20 April 2021 telah dilaksanakan kegiatan Penyebaran Brosur Larangan Mudik dalam Rangka Ops Keselamatan Mus… https://t.co/G9dHAZeMzZ
60,"Presiden @jokowi bersama semua menteri, wapres dan semua lembaga tdk mudik maupun pulang kampung. Kerjakeras Maju N… https://t.co/5DSy1I4MQR"
61,"saya sih terserah mau mudik atau ngga mudik, pilihannya resiko tinggi dan resiko rendah. 
tapi prokes 5M harus dija… https://t.co/EuV27alYP4"
62,"Sebelumnya Pemerintah telah mengeluarkan larangan mudik lebaran 2021. Nah klo masih ada yang nekat mudik, bakalan k… https://t.co/NL4Zp8eeIl"
63,@mazrlee YA MAKANYA GUE MENGETAG ELU CUMA BUAT KASI INFO KALO MAK LU NYURUH MUDIK
64,"Larangan mudik lebaran Idulfitri, mulai 6 hingga 17 Mei 2021, berdampak pada menurunnya aktivitas transaksi nasabah… https://t.co/qTLyHQ40ui"
65,"Kerja bakti Polsek Sukolilo persiapan pos penyekatan arus mudik lebaran Polres Pati
Selasa (20/4/2021) https://t.co/ZFtKIbEPw9"
66,Ekspresi ku saat gadibolehin cuti buat mudik nanti:) banyak kesalnya https://t.co/LhpB6wqI0Q
67,"Giat Himbauan PROKES dan sosialisasi Larangan Mudik Lebaran serta himbauan tentang KAMSELTIBCAR LANTAS.
#STOP_MUDIK… https://t.co/DH3Qnf76Cf"
68,"iyaa mang ots mudik dilarang, naik kuda tidak dilarang https://t.co/2nDX6Sz9cF"
69,"@midiahn mudik mah gaboleh kakotz 
tapi nek pulang kampung yo oleh"
70,Sido mudik orak😭
71,@frawlly Kan dilarang mudik
72,"@akusukapentoll Gue H-33, penyesuaian karena larangan mudik"
73,@MattHudi @AdeDirgantara3 @klik_ayet @ismailfahmi Mudik pake kendaraan pribadi
74,"Dk!
WTS

ALBUM STRANGER+PC HENDERY 210K
ALBUM ONLY 110K
PC HENDERY 120K

Bisa oren keep 23.4 / 25.4 (gabisa keep 5.… https://t.co/fMMUAYahQY"
75,"@keretaapikita Tapi sayang, penumpang nya gk ada, karena gk boleh mudik"
76,"@areumshua Ih aku klo mudik kesanaa, di cikampek"
77,"KerjaKeras Maju Negeriku
Pemerintah menghimbau Pekerja dan Pekerja Migran Indonesia agar tidak lakukan perjalanan M… https://t.co/WL8I82MZTO"
78,"@ismailfahmi Naudzubillah....
Ojo Mudik disik Rek..."
79,"@kompascom Saya mau mudik aja naik sepeda..!
Beli nya bisa disini nih..
https://t.co/3JVE9ceKth"
80,"Walikota Tangerang : Tidak Mudik, Untuk Keselamatan Kita Bersama https://t.co/Qyh8ZOhM9e"
81,@_doraredre Ngga. Soalnya ada larangan mudik dari pemerintah.
82,@dewahoya alhamdulilah g mikir mudik 😜
83,KerjaKeras Maju Negeriku sehat dgn tidak mudik https://t.co/iHtBDLQwDB
84,"Presiden @jokowi beserta wakil presiden, semua Menteri dan semua kepala lembaga tdk akan mudik.
KerjaKeras Maju Neg… https://t.co/syFn4sIuth"
85,@ganjarpranowo Lebih baik diwajibkan saja Rapidtest antigen &amp; pengisian aplikasi e-hac. Shg lbh terkontrol pergerak… https://t.co/yZTadIpT42
86,Dinas Perhubungan juga memperketat penjagaan di daerah perbatasan. https://t.co/gyCyyGLdju
87,"@midiahn Iya mang ots. Tapi pulang kampung boleh, karena definisi pulang kampung dan mudik itu berbeda"
88,@fentiRAHMAL Mudik ga nih teh tahun ini?
89,"pilkada boleh, piknik boleh, mudik gaboleh? https://t.co/YAvpCBOUX9"
90,"@ismailfahmi Pusat dan daerah ada aja yg ndk bersinergi.
Kadang bikin miskomunikasi Pada publik.
Pusat larang mudik… https://t.co/Kx1IF1uVJU"
91,@treasuremfess Mudik @treasuremembers
92,@tirta_hudhi Klo dr Jakarta mudik ke Bandung boleh nggak dok...
93,@_rizafajri @Riananse kek mo mudik aja!
94,@AdeDirgantara3 @klik_ayet @ismailfahmi Kl mudik tetap prokes gmn?
95,jangan mudik yaaw KerjaKeras Maju Negeriku https://t.co/mmdaV9ylZ1
96,@ntsana_ Ayoo paus masih bisa mudik sebelum tanggal 6
97,Sayangi Keluarga Tercinta dan Laaan Penyebaran COVID-19 dengan TIDAK MUDIK. https://t.co/qBluATYAoi
